Year,ERF
1850,-0.008773826910594277
1851,-0.7928922573312502
1852,-1.0030460459393802
1853,-0.1733454055437237
1854,-0.3922341780173807
1855,-0.5075044426068203
1856,-0.4022720457601473
1857,-0.35394349915982476
1858,-0.35415443016203263
1859,-0.41424771793696435
1860,-0.5039967095484371
1861,-1.2709639949218576
1862,-1.3084560796415245
1863,-1.1166615180801056
1864,-0.24339007725532125
1865,-0.2157489846697515
1866,-0.38454089944936126
1867,-0.3365498591467845
1868,-0.01689961499837811
1869,0.3693890888168906
1870,0.0037179439846734275
1871,0.11141462175742087
1872,-0.16417209670453464
1873,-0.5596504658813866
1874,0.5587298146929239
1875,0.15827780615146037
1876,-0.1424810168011233
1877,-0.4122099615118554
1878,-0.2393537694204698
1879,0.5118047534142363
1880,-0.5227015968431667
1881,-0.15009136712362728
1882,-0.01903499883242124
1883,-1.0941533579322522
1884,-2.2111246460364518
1885,-1.575956852268216
1886,-0.7606321360267987
1887,-0.06345490827384609
1888,0.04462056750095472
1889,0.35370751608735695
1890,-0.10180400403360798
1891,-0.8129368528796862
1892,-0.4702859496113961
1893,0.08423624005022207
1894,-0.22783441376439734
1895,0.2254093915215185
1896,0.2372690344051843
1897,0.7800288825210231
1898,-0.13644548262392894
1899,0.1288410904437331
1900,-0.6401472444254798
1901,-0.18793171505405398
1902,-0.0013998193027731504
1903,-0.8381687587593966
1904,-0.6550787517477257
1905,0.39948124115853917
1906,-0.3112053808689667
1907,-0.28227400617043447
1908,-0.21161952291248093
1909,-0.18145219884820493
1910,0.08224370637783973
1911,0.47401757851510157
1912,0.16226464821100717
1913,-0.4999204295419604
1914,-0.2310697046452053
1915,-0.07546422241052061
1916,0.10088060684916585
1917,0.331376686123048
1918,0.3090895814905287
1919,0.3175982320006705
1920,0.03525467391930172
1921,0.4604784961870246
1922,0.3056378887842818
1923,0.2799330987879556
1924,0.04065712426908349
1925,-0.07343111274006181
1926,0.7138108988468495
1927,0.4586410058119941
1928,0.17132382755569706
1929,0.2190076977783176
1930,0.18635188376117343
1931,-0.5640097837772358
1932,0.8405226746291181
1933,0.8569464150979781
1934,0.6143478722362765
1935,-0.04486121973456078
1936,-0.36375138058003337
1937,0.40068525538622185
1938,0.5510498893702855
1939,0.32148003753705784
1940,0.09220453690099475
1941,-0.04747258820589677
1942,0.2584836134313928
1943,0.8822795627073787
1944,0.5920219327410925
1945,0.09196431666289415
1946,0.5144545391446014
1947,1.304049315113133
1948,0.9666117013277977
1949,0.7783209028963807
1950,0.7583246452381301
1951,0.8818334900516652
1952,0.12116222031994067
1953,0.11278677277240914
1954,0.7178798606505137
1955,1.163691471663085
1956,1.1354253569607857
1957,0.6032016740868669
1958,0.5865821357058787
1959,0.5048351988497943
1960,0.8100833392814755
1961,0.504485752324334
1962,1.0900225842533495
1963,-1.0157913680273052
1964,0.11067565416892716
1965,0.23622259784300545
1966,-0.022277240796423292
1967,-0.5398129181885338
1968,0.5931078316319717
1969,0.8193211194789334
1970,0.2793307064310049
1971,0.1824717889688507
1972,1.1679618010645085
1973,1.3016998237011164
1974,1.1478666422665942
1975,0.4861219376924345
1976,1.3621726704800907
1977,1.4641491623828435
1978,1.1108733825807133
1979,1.3220725911351203
1980,1.5389336143592613
1981,1.361565134647675
1982,1.5663411261930338
1983,0.7989096400302775
1984,1.2870623714410983
1985,1.7147577807256391
1986,1.485978814315718
1987,1.628665969852984
1988,1.8529777085617014
1989,2.5045443683849102
1990,2.035870577081095
1991,0.17178605378803025
1992,-0.20214066596229618
1993,1.3909206622202168
1994,2.119084431170706
1995,1.329967063261153
1996,1.8727154440748432
1997,1.8655207208146016
1998,1.7557205406544911
1999,2.390938369852942
2000,2.7835513802243566
2001,2.6012061939487854
2002,2.4167492446722956
2003,2.005997240926717
2004,2.3359334757291723
2005,2.4185294837385123
2006,2.8127144835910602
2007,2.8878194362923244
2008,2.806895122673713
2009,2.445551706215556
2010,2.9114078233189016
2011,3.2390341586444293
2012,2.9610951592283796
2013,2.5105170349907047
2014,2.6519451786726798
2015,2.8436996695013144
2016,3.1043110702136087
2017,2.612491175798691
2018,2.90743828628487
2019,2.590730401232209
2020,3.0121708478318876
2021,4.0877498658474325
2022,3.563468089018447
2023,3.3613274172116707
2024,3.56857196394012
2025,3.8332375453136205
2026,2.877057642258412
2027,2.616145478861296
2028,3.4885207921687025
2029,3.5505659230369537
2030,3.3183142523793525
2031,3.1616372000839563
2032,2.8619197837633332
2033,3.20537110884471
2034,2.982936710759502
2035,3.274689413475047
2036,3.5923129510705705
2037,3.3712547460025166
2038,2.491419639034348
2039,3.0084524002647974
2040,3.5492773196024836
2041,3.2878152350800107
2042,3.5324410274809876
2043,3.747086874965512
2044,3.707143584771808
2045,3.1766148974150914
2046,2.8139181939335707
2047,3.5432873648331906
2048,4.232118120338109
2049,3.931219361318647
2050,3.5016622473001386
2051,2.7656305233846794
2052,2.9977130054555223
2053,3.3392430224223686
2054,3.589529447133295
2055,3.409732957409765
2056,3.5359471203784927
2057,2.7123888384107127
2058,2.6955721509400363
2059,3.1177488884480478
2060,3.44780090536957
2061,3.5636909361493383
2062,3.3546124696231208
2063,2.278365214062002
2064,2.51555765939666
2065,3.0962962485716075
2066,2.889491954379344
2067,2.132435606158147
2068,2.534249076223548
2069,2.729486868044828
2070,2.8222899947472637
2071,3.2991749677444138
2072,2.947341026541176
2073,3.3234771676929613
2074,3.121614267602226
2075,3.004022008672048
2076,2.0060949043682803
2077,1.924481063210762
2078,2.7344485520484443
2079,3.653959533223458
2080,3.3548185216787765
2081,2.677426276290926
2082,2.959282420247777
2083,2.8802098626148935
2084,2.5072530545318052
2085,2.699861645655713
2086,2.9369039396792163
2087,1.9558886857199762
2088,2.7014831120430056
2089,2.6719797080018584
2090,3.191904178467316
2091,2.082952997034976
2092,2.7648773740832526
2093,3.409241013114318
2094,2.531983499777736
2095,2.717940179673838
2096,2.878754526788194
2097,2.601992262840442
2098,1.9420134483786216
2099,1.7620136863194018
2100,2.7480353911996245
2101,2.959496010529394
2102,2.3933696080063473
2103,2.1435890834903404
2104,1.6807659905325254
2105,2.2797012816736006
2106,2.9472563736650628
2107,2.4265035242957604
2108,2.343471994510845
2109,2.242237460382277
2110,1.99167275339992
2111,2.4113492083953294
2112,2.455957433150229
2113,2.5629947174682983
2114,2.7029996398542346
2115,1.798029769021719
2116,1.946678932406043
2117,2.152638758532848
2118,1.716385545582363
2119,1.6439768649492403
2120,2.3960118091943596
2121,2.113793501819373
2122,2.3599841376703146
2123,1.8199837467770879
2124,2.569600330033124
2125,1.6914314227278227
2126,2.192175351618926
2127,1.746102524071367
2128,1.8640264931192119
2129,1.1666941985656352
2130,0.9622777372080774
2131,1.8031976809697179
2132,1.969246228678168
2133,2.1876508856649477
2134,2.2029310283088566
2135,2.166047966697355
2136,1.567420577299698
2137,1.3798467646404537
2138,1.143900730637791
2139,1.7935957391645072
2140,2.371733125264398
2141,2.088576445049715
2142,1.9501229379834413
2143,1.850213589213949
2144,1.9289684005058052
2145,1.9223058527364516
2146,1.9152806269174274
2147,1.644759197810013
2148,0.5880392703556062
2149,1.1117327792593692
2150,1.5672784919907103
2151,2.1067904197107117
2152,1.8265981974502101
2153,1.876017078460219
2154,1.9851999657761628
2155,1.7054797157737605
2156,2.029554330380244
2157,1.8474521732170819
2158,1.5827797138862305
2159,1.704741142973478
2160,1.2929383025446457
2161,1.930305217103068
2162,1.301929701266223
2163,1.9915163981503257
2164,1.8324304722155413
2165,2.2932746160631936
2166,1.3437514822831027
2167,1.6527542765328376
2168,2.004597265252898
2169,2.236636900371249
2170,0.8789205623864977
2171,1.7826833334985528
2172,1.9337530769889602
2173,1.6827030353952472
2174,1.2816355579115584
2175,0.6441253447242336
2176,1.9853077731785578
2177,1.7972595629167047
2178,2.2651927279912782
2179,1.6162890326973585
2180,1.9722587106294847
2181,2.0071194701548514
2182,1.3961270370772636
2183,1.3850656818113296
2184,1.6908974662610374
2185,2.0246243252508886
2186,2.082714659103339
2187,2.095846481753971
2188,2.024722779584651
2189,1.6286516459151716
2190,1.6393976497795284
2191,2.661260611588817
2192,2.452597587724305
2193,1.6195723668479283
2194,2.0766781935539615
2195,1.5517758987109262
2196,1.8076263949698295
2197,1.9685237912214824
2198,1.4702760647693311
2199,2.267135233176957
2200,1.5329727633112322
2201,1.7672711091336812
2202,1.7314879301979331
2203,1.9515016816269948
2204,1.5697939871438862
2205,1.2329917961869477
2206,1.239895420943331
2207,1.7533498868215702
2208,2.052784021731926
2209,2.191255153642496
2210,1.7042528306741271
2211,1.1611835090691975
2212,1.175637841479411
2213,1.6586008510547445
2214,2.2823240391015
2215,1.6075574091251439
2216,1.561583593802144
2217,2.5078298307170748
2218,1.7316204398367754
2219,1.0856452276950557
2220,0.8606022096802926
2221,1.943040546651954
2222,2.4269157450860677
2223,2.0889825204570682
2224,1.8701798685220092
2225,2.3009228349054904
2226,2.393448949078153
2227,1.782376485298243
2228,1.278886639347736
2229,2.501993459075397
2230,2.296119203063046
2231,1.8594315902363985
2232,2.8530565416285816
2233,2.7414559084381915
2234,2.3235063400721185
2235,2.087613630799255
2236,2.2359403235963464
2237,1.9603468998111588
2238,2.219336537140026
2239,2.080700114980243
2240,1.4236414352671427
2241,1.5195684054105896
2242,1.993040528669335
2243,2.607464299246699
2244,1.578447347824025
2245,1.9237737883397137
2246,1.4080213918765354
2247,1.4529971856121127
2248,1.7792313180733756
2249,2.0136850528263226
2250,1.5416509266075487
2251,2.0659798906196336
2252,1.7947838177554687
2253,2.2240785785672044
2254,1.0042114432737017
2255,1.5023767778294916
2256,2.4244194860930026
2257,2.043015414921952
2258,1.2590589202252205
2259,1.972052571325714
2260,2.377465625592017
2261,1.7676959103348362
2262,1.3725236907778353
2263,1.4005015741959403
2264,2.982955679495619
2265,2.5880018455782996
2266,1.6311611854190495
2267,1.7877063862539693
2268,2.078517767965623
2269,2.855381732333391
2270,2.087649399000214
2271,1.6239523460240712
2272,1.9438465347575917
2273,2.306811845999605
2274,1.3895391638264962
2275,1.9653762567371609
2276,2.1243162975496195
2277,1.8660870838962138
2278,2.237123500259527
2279,1.9084785056970024
2280,1.5853098803608823
2281,1.9445959762033214
2282,2.539534787148284
2283,2.037426127240201
2284,1.8497778082798844
2285,1.8638269573586221
2286,1.9989528926115918
2287,2.8673910765673054
2288,2.5536689127517738
2289,1.9665883093449228
2290,1.64745771033502
2291,2.059889763892361
2292,1.869750483740722
2293,2.1966608759234
2294,2.1173446164774905
2295,2.1797912053750164
2296,2.3940949280911736
2297,2.4262800561979843
2298,2.1210753497107127
2299,2.3772610231043676
